D2_kin15 
Run#	Charge_dnew	DT_2	DT_3	DT_4	PID_eff	
1862	73841.352	0.346	0.300	0.525	1.000	
1863	77923.781	0.396	0.337	0.526	1.000	
1883	10285.656	0.426	0.197	0.475	1.000	
1884	3921.598	0.235	0.437	0.333	1.000	
1885	1844.936	1.160	0.706	1.496	1.000	
1887	3544.649	0.717	0.297	0.742	1.000	
1892	70698.281	0.358	0.361	0.569	1.000	
1893	66819.461	0.436	0.499	0.642	1.000	
1894	47394.648	0.211	0.191	0.443	1.000	
1895	27280.479	0.491	0.493	0.635	1.000	
1924	67608.578	0.399	0.452	0.607	1.000	
1925	66322.617	0.216	0.153	0.372	1.000	
1936	59150.293	0.202	0.160	0.385	1.000	
1937	59792.578	0.440	0.453	0.673	1.000	
1949	64135.164	0.180	0.094	0.334	1.000	
1950	28082.025	0.166	0.136	0.298	1.000	
1951	36929.801	0.319	0.338	0.511	1.000	
1977	20726.066	0.212	0.273	0.327	-9223372036854775808.000	
1978	2097.627	0.615	0.141	0.639	-9223372036854775808.000	
1979	8853.142	0.311	0.164	0.438	1.000	
1981	17584.145	0.572	0.669	0.719	-9223372036854775808.000	
1982	58313.684	0.256	0.164	0.479	1.000	
1992	62918.480	0.439	0.471	0.606	1.000	
1993	14314.875	0.298	0.161	0.474	1.000	
1994	71199.258	0.482	0.444	0.649	1.000	
2005	42023.816	0.419	0.475	0.610	1.000	
