DM2_kin16 
Run#	Charge_dnew	DT_6	DT_7	DT_8	PID_eff	
90895	18288.495	0.258	0.405	0.000	0.00000	
90914	34844.637	0.227	0.460	0.000	0.00000	
90958	43039.599	0.214	0.392	0.000	0.00000	
90959	42793.064	0.182	0.392	0.000	0.00000	
90992	33517.378	0.267	0.444	0.000	0.00000	
90993	65388.957	0.185	0.433	0.000	0.00000	
91028	35053.058	0.205	0.374	0.000	0.00000	
91029	64244.926	0.224	0.395	0.000	0.00000	
91067	31085.376	0.188	0.333	0.000	0.00000	
91068	57323.767	0.054	0.228	0.000	0.00000	
91167	33214.542	0.202	0.385	0.000	0.00000	
91168	11651.502	0.173	0.398	0.000	0.00000	
91169	51601.203	0.160	0.415	0.000	0.00000	
91170	72618.953	0.234	0.407	0.000	0.00000	
91360	49621.176	0.214	0.410	0.000	0.00000	
91361	53525.691	0.153	0.386	0.000	0.00000	
91442	60287.538	0.235	0.461	0.000	0.00000	
91443	49068.886	0.223	0.433	0.000	0.00000	
91519	17446.852	0.189	0.344	0.000	0.00000	
91520	19711.316	0.769	1.796	0.000	0.00000	
