H3_kin16 
Run#	Charge_dnew	DT_6	DT_7	DT_8	PID_eff	
90884	57936.990	0.130	0.237	0.000	0.00000	
90885	49554.323	0.188	0.262	0.000	0.00000	
90886	68739.621	0.093	0.246	0.000	0.00000	
90902	36063.681	0.123	0.250	0.000	0.00000	
90903	38318.891	0.037	0.251	0.000	0.00000	
90904	38005.787	0.094	0.283	0.000	0.00000	
90907	38967.939	0.193	0.228	0.000	0.00000	
90908	43961.147	0.157	0.272	0.000	0.00000	
90909	40661.581	0.188	0.223	0.000	0.00000	
90910	64992.020	0.116	0.222	0.000	0.00000	
90922	35626.982	0.173	0.228	0.000	0.00000	
90923	37643.590	0.141	0.277	0.000	0.00000	
90924	38136.765	0.068	0.237	0.000	0.00000	
90925	39544.574	0.153	0.258	0.000	0.00000	
90926	39583.148	0.156	0.259	0.000	0.00000	
90929	12664.538	0.112	0.192	0.000	0.00000	
90950	58020.742	0.112	0.262	0.000	0.00000	
90951	50229.579	0.047	0.242	0.000	0.00000	
90952	46104.846	0.146	0.191	0.000	0.00000	
90953	47303.313	0.090	0.217	0.000	0.00000	
90968	58548.681	0.085	0.261	0.000	0.00000	
90983	68312.635	0.202	0.257	0.000	0.00000	
90984	61012.366	0.107	0.241	0.000	0.00000	
90985	65723.345	0.132	0.278	0.000	0.00000	
90986	6852.600	0.134	0.175	0.000	0.00000	
91004	52249.152	0.096	0.265	0.000	0.00000	
