He3_kin16 
Run#	Charge_dnew	DT_6	DT_7	DT_8	PID_eff	
90883	38837.534	0.176	0.203	0.000	-nan	
90888	21164.345	0.203	0.232	0.000	0.00000	
90890	14166.676	0.213	0.182	0.000	0.00000	
90891	26041.648	0.037	0.200	0.000	0.00000	
90897	8701.079	0.058	0.247	0.000	0.00000	
90898	49695.945	0.147	0.193	0.000	0.00000	
90899	48983.521	0.057	0.225	0.000	0.00000	
90900	36871.321	0.147	0.243	0.000	0.00000	
90901	59152.902	0.066	0.193	0.000	0.00000	
90915	56751.517	0.086	0.190	0.000	0.00000	
90919	45340.622	0.042	0.221	0.000	0.00000	
90920	50992.256	0.116	0.226	0.000	0.00000	
90921	51865.999	0.098	0.183	0.000	0.00000	
90930	46948.064	0.112	0.215	0.000	0.00000	
90931	94941.876	0.028	0.194	0.000	0.00000	
90932	24885.672	0.103	0.277	0.000	0.00000	
90934	4472.045	0.216	0.255	0.000	0.00000	
90935	41718.227	0.025	0.187	0.000	0.00000	
90944	31386.453	0.031	0.158	0.000	0.00000	
90945	35362.302	0.000	0.185	0.000	0.00000	
90946	13450.127	0.079	0.161	0.000	0.00000	
90947	59368.639	0.149	0.176	0.000	0.00000	
90948	62293.182	0.059	0.183	0.000	0.00000	
90949	63102.098	0.074	0.207	0.000	0.00000	
90960	36925.322	0.123	0.180	0.000	0.00000	
90961	41311.397	0.039	0.217	0.000	0.00000	
